timestamp,user,src_ip,event,service,geo
2026-03-04T06:30:00Z,cwright,10.5.11.14,SUCCESS,sso,US-HI
2026-03-04T06:31:08Z,kpatel,10.5.31.74,SUCCESS,sso,US-HI
2026-03-04T06:32:44Z,swilliams,10.5.34.143,SUCCESS,vpn,US-HI
2026-03-04T06:36:05Z,rgarcia,10.5.21.65,FAILED,sshd,US-HI
2026-03-04T06:40:46Z,bthompson,10.5.37.59,SUCCESS,vpn,US-HI
2026-03-04T06:45:29Z,tkim,10.5.16.101,SUCCESS,sso,US-HI
2026-03-04T06:51:11Z,swilliams,10.5.34.143,SUCCESS,vpn,US-HI
2026-03-04T06:51:31Z,rgarcia,10.5.21.65,SUCCESS,sso,US-HI
2026-03-04T06:53:59Z,jlee,10.5.11.179,FAILED,mail,US-HI
2026-03-04T06:54:30Z,bthompson,10.5.37.59,SUCCESS,sso,US-HI
2026-03-04T06:59:37Z,lmartin,10.5.24.12,SUCCESS,sso,US-HI
2026-03-04T06:59:57Z,aroberts,10.5.34.217,SUCCESS,vpn,US-HI
2026-03-04T07:02:14Z,rgarcia,10.5.21.65,FAILED,sso,US-HI
2026-03-04T07:02:34Z,aroberts,10.5.34.217,SUCCESS,fileshare,US-HI
2026-03-04T07:02:54Z,cwright,10.5.11.14,SUCCESS,sso,US-HI
2026-03-04T07:03:43Z,cwright,10.5.11.14,SUCCESS,vpn,US-HI
2026-03-04T07:05:17Z,kpatel,10.5.31.74,SUCCESS,fileshare,US-HI
2026-03-04T07:06:01Z,bthompson,10.5.37.59,SUCCESS,vpn,US-HI
2026-03-04T07:08:35Z,swilliams,10.5.34.143,SUCCESS,fileshare,US-HI
2026-03-04T07:09:41Z,ehall,10.5.31.62,FAILED,mail,US-HI
2026-03-04T07:10:03Z,swilliams,10.5.34.143,SUCCESS,vpn,US-HI
2026-03-04T07:15:59Z,rgarcia,10.5.21.65,SUCCESS,sso,US-HI
2026-03-04T07:16:31Z,aroberts,10.5.34.217,SUCCESS,sso,US-HI
2026-03-04T07:17:07Z,rgarcia,10.5.21.65,SUCCESS,vpn,US-HI
2026-03-04T07:20:50Z,cwright,10.5.11.14,SUCCESS,vpn,US-HI
2026-03-04T07:26:17Z,dnguyen,10.5.23.133,SUCCESS,vpn,US-HI
2026-03-04T07:30:11Z,lmartin,10.5.24.12,SUCCESS,fileshare,US-HI
2026-03-04T07:33:07Z,aroberts,10.5.34.217,SUCCESS,sso,US-HI
2026-03-04T07:35:46Z,lmartin,10.5.24.12,SUCCESS,sso,US-HI
2026-03-04T07:36:42Z,kpatel,10.5.31.74,SUCCESS,sso,US-HI
2026-03-04T07:37:36Z,swilliams,10.5.34.143,SUCCESS,sso,US-HI
