timestamp,user,src_ip,event,service,geo
2026-04-19T07:12:00Z,t.walker,10.5.23.60,SUCCESS,sso,US-HI
2026-04-19T07:17:25Z,n.oyelaran,10.5.17.8,SUCCESS,backup_server,US-HI
2026-04-19T07:18:44Z,s.okafor,10.5.32.12,SUCCESS,sso,US-HI
2026-04-19T07:19:14Z,p.ramirez,10.5.39.102,SUCCESS,ad,US-HI
2026-04-19T07:19:44Z,j.dutta,10.5.33.174,SUCCESS,sso,US-HI
2026-04-19T07:20:35Z,n.oyelaran,10.5.17.8,SUCCESS,ad,US-HI
2026-04-19T07:25:11Z,t.walker,10.5.23.60,SUCCESS,fileshare,US-HI
2026-04-19T07:27:02Z,n.oyelaran,10.5.17.8,FAILED,vpn,US-HI
2026-04-19T07:27:32Z,j.dutta,10.5.33.174,SUCCESS,fileshare,US-HI
2026-04-19T07:31:45Z,j.dutta,10.5.33.174,SUCCESS,sso,US-HI
2026-04-19T07:34:22Z,m.iverson,10.5.15.124,SUCCESS,backup_server,US-HI
2026-04-19T07:35:03Z,p.ramirez,10.5.39.102,SUCCESS,fileshare,US-HI
2026-04-19T07:39:21Z,t.walker,10.5.23.60,SUCCESS,vpn,US-HI
2026-04-19T07:40:49Z,s.okafor,10.5.32.12,SUCCESS,domain_admin_console,US-HI
2026-04-19T07:41:19Z,n.oyelaran,10.5.17.8,SUCCESS,fileshare,US-HI
2026-04-19T07:41:49Z,p.ramirez,10.5.39.102,SUCCESS,vpn,US-HI
2026-04-19T07:46:40Z,p.ramirez,10.5.39.102,SUCCESS,vpn,US-HI
2026-04-19T07:48:36Z,m.iverson,10.5.15.124,SUCCESS,sso,US-HI
2026-04-19T07:50:54Z,j.dutta,10.5.33.174,SUCCESS,fileshare,US-HI
2026-04-19T07:53:01Z,j.dutta,10.5.33.174,SUCCESS,sso,US-HI
2026-04-19T07:55:54Z,c.bergman,10.5.16.67,SUCCESS,sso,US-HI
