timestamp,src_host,dst_ip,dst_port,bytes_out
2026-03-17T07:02:00Z,10.5.10.45,199.232.36.133,80,534166
2026-03-17T07:07:44Z,10.5.10.45,140.82.114.4,443,600063
2026-03-17T07:08:26Z,10.5.33.8,52.94.236.10,443,623081
2026-03-17T07:08:46Z,10.5.10.7,151.101.1.69,443,955406
2026-03-17T07:12:22Z,10.5.10.30,199.232.36.133,80,206677
2026-03-17T07:18:53Z,10.5.33.8,13.107.42.14,443,981037
2026-03-17T07:19:54Z,10.5.33.8,151.101.1.69,443,293191
2026-03-17T07:21:43Z,10.5.10.31,151.101.1.69,443,1337533
2026-03-17T07:22:03Z,10.5.10.30,199.232.36.133,80,887101
2026-03-17T07:27:31Z,10.5.10.45,13.107.42.14,443,407691
2026-03-17T07:35:57Z,10.5.10.45,199.232.36.133,80,392450
2026-03-17T07:38:27Z,10.5.20.14,151.101.1.69,443,567977
2026-03-17T07:39:06Z,10.5.10.7,199.232.36.133,80,874428
2026-03-17T07:40:16Z,10.5.10.30,151.101.1.69,443,375817
2026-03-17T07:40:45Z,10.5.10.31,104.18.32.115,443,521801
2026-03-17T07:42:36Z,10.5.10.31,140.82.114.4,443,361864
2026-03-17T07:43:58Z,10.5.33.8,13.107.42.14,443,870046
2026-03-17T07:44:18Z,10.5.10.31,140.82.114.4,443,595122
2026-03-17T07:49:25Z,10.5.10.45,140.82.114.4,443,366571
2026-03-17T07:50:43Z,10.5.10.45,52.94.236.10,443,718795
2026-03-17T07:52:37Z,10.5.10.45,52.94.236.10,443,732331
2026-03-17T07:54:33Z,10.5.20.14,104.18.32.115,443,390810
2026-03-17T07:57:55Z,10.5.10.7,104.18.32.115,443,705250
2026-03-17T08:06:10Z,10.5.33.8,140.82.114.4,443,1006922
2026-03-17T08:08:08Z,10.5.20.14,104.18.32.115,443,916853
2026-03-17T08:08:31Z,10.5.10.45,52.94.236.10,443,700616
2026-03-17T08:09:03Z,10.5.10.30,140.82.114.4,443,500379
2026-03-17T08:14:57Z,10.5.10.7,104.18.32.115,443,555007
2026-03-17T08:15:46Z,10.5.10.30,199.232.36.133,80,737547
2026-03-17T08:17:08Z,10.5.20.14,199.232.36.133,80,389789
2026-03-17T08:17:50Z,10.5.33.8,199.232.36.133,80,528569
2026-03-17T08:19:04Z,10.5.10.45,151.101.1.69,443,848025
2026-03-17T08:22:01Z,10.5.20.14,13.107.42.14,443,523874
2026-03-17T08:23:53Z,10.5.10.7,199.232.36.133,80,396959
2026-03-17T08:24:13Z,10.5.10.31,52.94.236.10,443,306077
2026-03-17T08:26:49Z,10.5.10.7,140.82.114.4,443,538694
2026-03-17T08:30:34Z,10.5.10.31,151.101.1.69,443,322614
2026-03-17T08:31:14Z,10.5.10.7,52.94.236.10,443,565861
2026-03-17T08:33:48Z,10.5.10.7,13.107.42.14,443,279376
2026-03-17T08:35:18Z,10.5.10.30,13.107.42.14,443,392603
2026-03-17T08:35:57Z,10.5.10.30,52.94.236.10,443,616444
2026-03-17T08:36:17Z,10.5.10.30,199.232.36.133,80,354015
2026-03-17T08:39:20Z,10.5.10.31,199.232.36.133,80,564204
2026-03-17T08:41:43Z,10.5.10.31,52.94.236.10,443,448682
2026-03-17T08:51:29Z,10.5.10.7,199.232.36.133,80,873503
2026-03-17T08:52:24Z,10.5.10.30,140.82.114.4,443,305217
2026-03-17T08:54:58Z,10.5.33.8,13.107.42.14,443,1293496
2026-03-17T09:01:58Z,10.5.10.45,199.232.36.133,80,283092
2026-03-17T09:08:02Z,10.5.20.14,199.232.36.133,80,205006
2026-03-17T09:11:06Z,10.5.33.8,104.18.32.115,443,468764
2026-03-17T09:12:04Z,10.5.20.14,199.232.36.133,80,374411
2026-03-17T09:14:00Z,10.5.10.30,199.232.36.133,80,1384696
2026-03-17T09:15:17Z,10.5.10.30,199.232.36.133,80,542819
2026-03-17T09:15:37Z,10.5.10.7,140.82.114.4,443,672986
2026-03-17T09:16:37Z,10.5.10.31,13.107.42.14,443,1371284
2026-03-17T09:21:15Z,10.5.10.7,104.18.32.115,443,1083019
2026-03-17T09:21:52Z,10.5.10.45,140.82.114.4,443,606730
2026-03-17T09:22:59Z,10.5.10.30,140.82.114.4,443,187034
2026-03-17T09:23:19Z,10.5.10.7,13.107.42.14,443,576170
2026-03-17T09:28:06Z,10.5.10.7,140.82.114.4,443,467019
2026-03-17T09:28:31Z,10.5.10.30,140.82.114.4,443,439285
2026-03-17T09:30:40Z,10.5.20.14,140.82.114.4,443,689112
2026-03-17T09:31:00Z,10.5.10.7,140.82.114.4,443,1281403
2026-03-17T09:32:46Z,10.5.10.31,13.107.42.14,443,597491
2026-03-17T09:34:45Z,10.5.20.14,13.107.42.14,443,265485
2026-03-17T09:36:05Z,10.5.10.30,151.101.1.69,443,789256
2026-03-17T09:42:35Z,10.5.20.14,199.232.36.133,80,279575
2026-03-17T09:43:31Z,10.5.10.45,199.232.36.133,80,553513
2026-03-17T09:50:20Z,10.5.20.14,199.232.36.133,80,279543
2026-03-17T09:55:22Z,10.5.33.8,13.107.42.14,443,300751
2026-03-17T10:00:33Z,10.5.10.7,52.94.236.10,443,655774
2026-03-17T10:01:35Z,10.5.20.14,140.82.114.4,443,459844
2026-03-17T10:04:46Z,10.5.10.31,104.18.32.115,443,1370325
2026-03-17T10:09:10Z,10.5.10.31,52.94.236.10,443,802443
2026-03-17T10:12:23Z,10.5.10.45,151.101.1.69,443,316667
2026-03-17T10:13:13Z,10.5.10.45,104.18.32.115,443,686056
2026-03-17T10:15:27Z,10.5.33.8,140.82.114.4,443,398184
2026-03-17T10:16:33Z,10.5.33.8,104.18.32.115,443,715462
2026-03-17T10:17:14Z,10.5.10.7,199.232.36.133,80,839727
2026-03-17T10:17:34Z,10.5.10.45,13.107.42.14,443,402692
2026-03-17T10:17:54Z,10.5.33.8,140.82.114.4,443,1399404
2026-03-17T10:22:26Z,10.5.10.30,13.107.42.14,443,718024
2026-03-17T10:23:40Z,10.5.10.31,199.232.36.133,80,386480
2026-03-17T10:24:51Z,10.5.33.8,140.82.114.4,443,791662
2026-03-17T10:25:11Z,10.5.10.45,52.94.236.10,443,643786
2026-03-17T10:28:21Z,10.5.10.7,13.107.42.14,443,345896
2026-03-17T10:28:47Z,10.5.10.31,140.82.114.4,443,524196
2026-03-17T10:31:45Z,10.5.10.45,13.107.42.14,443,653307
2026-03-17T10:35:40Z,10.5.10.7,52.94.236.10,443,854286
2026-03-17T10:36:00Z,10.5.10.45,52.94.236.10,443,491662
2026-03-17T10:45:38Z,10.5.10.7,13.107.42.14,443,684090
2026-03-17T10:46:58Z,10.5.20.14,13.107.42.14,443,1056897
2026-03-17T10:48:10Z,10.5.10.30,52.94.236.10,443,298208
2026-03-17T10:51:36Z,10.5.10.45,52.94.236.10,443,250193
2026-03-17T10:56:40Z,10.5.10.7,140.82.114.4,443,258201
2026-03-17T10:57:44Z,10.5.20.14,151.101.1.69,443,402471
